id,title,open_state,url,time_left_to_submission,themes,registrations_count,featured,organization_name,start_date,end_date
19201,Google’s Immersive Geospatial Challenge,open,https://googlesimmersive.devpost.com/,50 days left,"[{'id': 5, 'name': 'AR/VR'}, {'id': 23, 'name': 'Beginner Friendly'}, {'id': 11, 'name': 'Productivity'}]",1699,True,Google,"Sep 25, 2023","Nov 20, 2023"
19198,Docker AI/ML Hackathon,upcoming,https://docker.devpost.com/,37 days left,"[{'id': 6, 'name': 'Machine Learning/AI'}, {'id': 2, 'name': 'DevOps'}, {'id': 25, 'name': 'Web'}]",1595,False,Docker,"Oct 03, 2023","Nov 07, 2023"
18926,CodeShift,open,https://codeshift.devpost.com/,43 days left,"[{'id': 21, 'name': 'Enterprise'}, {'id': 6, 'name': 'Machine Learning/AI'}, {'id': 22, 'name': 'Open Ended'}]",324,True,Red Hat,"Sep 26, 2023","Nov 13, 2023"
18886,Databricks Asia Pacific LLM Cup 2023,upcoming,https://databricks-llm-cup-2023.devpost.com/,54 days left,"[{'id': 6, 'name': 'Machine Learning/AI'}, {'id': 28, 'name': 'Databases'}]",621,False,Databricks,"Oct 08, 2023","Nov 24, 2023"
18958,Ably Realtime Experiences Hackathon,open,https://ably.devpost.com/,31 days left,"[{'id': 10, 'name': 'Communication'}, {'id': 28, 'name': 'Databases'}, {'id': 25, 'name': 'Web'}]",591,False,ably,"Sep 18, 2023","Nov 01, 2023"
18360,API World + AI DevWorld Hackathon 2023,upcoming,https://api-world-hackathon-2023.devpost.com/,25 days left,"[{'id': 7, 'name': 'IoT'}, {'id': 6, 'name': 'Machine Learning/AI'}, {'id': 17, 'name': 'Low/No Code'}]",580,True,DevNetwork,"Oct 09, 2023","Oct 26, 2023"
18997,AI and Identity- Okta Hackathon 2023,open,https://oktahackathon2023.devpost.com/,37 days left,"[{'id': 21, 'name': 'Enterprise'}, {'id': 6, 'name': 'Machine Learning/AI'}, {'id': 25, 'name': 'Web'}]",492,False,Okta,"Sep 22, 2023","Nov 07, 2023"
19079,2023 PICO Dev Jam,upcoming,https://pico-dev-jam-2023.devpost.com/,40 days left,"[{'id': 5, 'name': 'AR/VR'}, {'id': 19, 'name': 'Education'}, {'id': 4, 'name': 'Gaming'}]",398,True,PICO ,"Oct 02, 2023","Nov 10, 2023"
18903,Boost Hacks,open,https://boost-hacks.devpost.com/,29 days left,"[{'id': 23, 'name': 'Beginner Friendly'}, {'id': 22, 'name': 'Open Ended'}, {'id': 13, 'name': 'Social Good'}]",721,False,Boost,"Sep 08, 2023","Oct 30, 2023"
19038,NEW HORIZON,upcoming,https://newhorizon.devpost.com/,71 days left,"[{'id': 1, 'name': 'Blockchain'}, {'id': 25, 'name': 'Web'}]",79,True,Ripple,"Oct 19, 2023","Dec 11, 2023"
19068,HackSharks 2.0,open,https://hacksharks-2-0.devpost.com/,60 days left,"[{'id': 23, 'name': 'Beginner Friendly'}, {'id': 16, 'name': 'Health'}, {'id': 6, 'name': 'Machine Learning/AI'}]",329,False,Indian Institute of Technology,"Sep 03, 2023","Nov 30, 2023"
18956,AI Classroom Challenge,open,https://ai-classroom-challenge.devpost.com/,27 days left,"[{'id': 19, 'name': 'Education'}, {'id': 6, 'name': 'Machine Learning/AI'}, {'id': 17, 'name': 'Low/No Code'}]",275,False,AI Consensus,"Sep 18, 2023","Oct 28, 2023"
19303,Innovate2Educate Hackathon,upcoming,https://innovate2educate.devpost.com/,33 days left,"[{'id': 23, 'name': 'Beginner Friendly'}, {'id': 19, 'name': 'Education'}, {'id': 17, 'name': 'Low/No Code'}]",187,False,Strive Squad,"Oct 06, 2023","Nov 03, 2023"
19228,AMD Code Jam,upcoming,https://amdcodejam.devpost.com/,64 days left,"[{'id': 2, 'name': 'DevOps'}, {'id': 9, 'name': 'Cybersecurity'}, {'id': 6, 'name': 'Machine Learning/AI'}]",19,False,AMD,"Oct 23, 2023","Dec 04, 2023"
18610,Tech Solutions to Reduce Sexually Transmitted Infections: Virtual,open,https://sti-hackathon-virtual.devpost.com/,29 days left,"[{'id': 5, 'name': 'AR/VR'}, {'id': 16, 'name': 'Health'}, {'id': 6, 'name': 'Machine Learning/AI'}]",112,False,National Academies,"Sep 19, 2023","Oct 30, 2023"
19364,"Equitable Elevation III - (Internship, Prestigious Article, 300K Non-Cash Prize)",upcoming,https://equitable-elevation-iii.devpost.com/,35 days left,"[{'id': 23, 'name': 'Beginner Friendly'}, {'id': 13, 'name': 'Social Good'}, {'id': 17, 'name': 'Low/No Code'}]",137,False,EQ Hacks,"Oct 08, 2023","Nov 05, 2023"
18937,5G Innovation Hackathon,open,https://5g-innovation-hackathon.devpost.com/,32 days left,"[{'id': 3, 'name': 'Fintech'}, {'id': 7, 'name': 'IoT'}]",118,False,Code for Pakistan,"Sep 18, 2023","Nov 02, 2023"
19046,Urban Health AI Challenge - Detroit ,open,https://urban-health-ai.devpost.com/,27 days left,"[{'id': 6, 'name': 'Machine Learning/AI'}, {'id': 13, 'name': 'Social Good'}, {'id': 5, 'name': 'AR/VR'}]",100,False,Univerity of detroit Mercy,"Sep 21, 2023","Oct 28, 2023"
19005,GreenHack Challenge 2023 - Biodiversity and Ecotourism App Hackathon,upcoming,https://greenhack-challenge-2023.devpost.com/,34 days left,"[{'id': 23, 'name': 'Beginner Friendly'}, {'id': 17, 'name': 'Low/No Code'}, {'id': 26, 'name': 'Mobile'}]",92,False,IPB University,"Oct 13, 2023","Nov 04, 2023"
19089,Future of Regenerative Cities GITEX GLOBAL - DevSlam 2023,upcoming,https://regen-cities-gitex23.devpost.com/,26 days left,"[{'id': 13, 'name': 'Social Good'}, {'id': 7, 'name': 'IoT'}, {'id': 11, 'name': 'Productivity'}]",80,False,Global DevSlam,"Oct 20, 2023","Oct 27, 2023"
19380,MLH's Month Long Hackathon,upcoming,https://hackfest-november.devpost.com/,61 days left,"[{'id': 23, 'name': 'Beginner Friendly'}, {'id': 22, 'name': 'Open Ended'}]",67,False,Major League Hacking,"Oct 16, 2023","Dec 01, 2023"
19415,Code for Change,upcoming,https://code-for-change.devpost.com/,50 days left,"[{'id': 23, 'name': 'Beginner Friendly'}, {'id': 17, 'name': 'Low/No Code'}, {'id': 13, 'name': 'Social Good'}]",47,False,Amdad-o-Agahi,"Oct 20, 2023","Nov 20, 2023"
19286,SF Hacks Code Jam 2023 V2,upcoming,https://sf-hacks-code-jam-2023-v2.devpost.com/,31 days left,"[{'id': 23, 'name': 'Beginner Friendly'}, {'id': 17, 'name': 'Low/No Code'}, {'id': 22, 'name': 'Open Ended'}]",46,False,SF Hacks,"Oct 01, 2023","Nov 01, 2023"
19443,2023-24 (Fall) ESE Senior Design ,upcoming,https://ese4500f23.devpost.com/,84 days left,"[{'id': 19, 'name': 'Education'}]",43,False,university of pennsylvania,"Oct 16, 2023","Dec 24, 2023"
19176,Machine Hacks,upcoming,https://machine-hacks.devpost.com/,35 days left,"[{'id': 16, 'name': 'Health'}, {'id': 17, 'name': 'Low/No Code'}, {'id': 6, 'name': 'Machine Learning/AI'}]",37,False,Rate-My-APs,"Oct 09, 2023","Nov 05, 2023"
16327,Syracuse Open Data Day,upcoming,https://syracuse-open-data-day.devpost.com/,34 days left,"[{'id': 23, 'name': 'Beginner Friendly'}, {'id': 13, 'name': 'Social Good'}, {'id': 28, 'name': 'Databases'}]",25,False,City of Syracuse,"Oct 04, 2023","Nov 04, 2023"
19327,Ghost in the Machine: AI Spookathon,upcoming,https://spookathon.devpost.com/,30 days left,"[{'id': 23, 'name': 'Beginner Friendly'}, {'id': 6, 'name': 'Machine Learning/AI'}, {'id': 22, 'name': 'Open Ended'}]",18,False,EVCCSC,"Oct 25, 2023","Oct 31, 2023"
19156,Innova BCP,upcoming,https://innovabcp.devpost.com/,27 days left,"[{'id': 19, 'name': 'Education'}, {'id': 21, 'name': 'Enterprise'}, {'id': 6, 'name': 'Machine Learning/AI'}]",13,False,BCP,"Oct 23, 2023","Oct 28, 2023"
19283,The Green Plan 2030 Challenge,upcoming,https://the-green-plan-2030-challenge.devpost.com/,46 days left,"[{'id': 19, 'name': 'Education'}, {'id': 7, 'name': 'IoT'}, {'id': 22, 'name': 'Open Ended'}]",12,False,TPCC DMIG,"Oct 08, 2023","Nov 16, 2023"
19404,North Shore Hacks,upcoming,https://north-shore-hacks.devpost.com/,33 days left,"[{'id': 16, 'name': 'Health'}, {'id': 11, 'name': 'Productivity'}, {'id': 25, 'name': 'Web'}]",11,False,West Vancouver Programming Club,"Oct 25, 2023","Nov 03, 2023"
19483,Spooky Software Hackathon,upcoming,https://spooky-software-hackathon.devpost.com/,32 days left,"[{'id': 18, 'name': 'Design'}, {'id': 4, 'name': 'Gaming'}, {'id': 15, 'name': 'Music/Art'}]",6,False,EVCCSC,"Oct 24, 2023","Nov 02, 2023"
18628,Microsoft AI Classroom Hackathon,upcoming,https://microsoftaiclassroom.devpost.com/,66 days left,"[{'id': 23, 'name': 'Beginner Friendly'}, {'id': 19, 'name': 'Education'}, {'id': 6, 'name': 'Machine Learning/AI'}]",1015,False,Microsoft,"Oct 26, 2023","Dec 06, 2023"
18513,NEARCON IRL Hackathon,upcoming,https://nearcon-hackathon.devpost.com/,40 days left,"[{'id': 23, 'name': 'Beginner Friendly'}, {'id': 1, 'name': 'Blockchain'}, {'id': 25, 'name': 'Web'}]",427,True,NEAR Protocol,"Nov 07, 2023","Nov 10, 2023"
18969,Decentralized Identity Foundation Hackathon,upcoming,https://difhackathon.devpost.com/,62 days left,"[{'id': 1, 'name': 'Blockchain'}, {'id': 21, 'name': 'Enterprise'}, {'id': 13, 'name': 'Social Good'}]",139,False,Decentralized Identity Foundation,"Oct 26, 2023","Dec 02, 2023"
18689,natHACKS 2023,upcoming,https://nathacks23.devpost.com/,49 days left,"[{'id': 23, 'name': 'Beginner Friendly'}, {'id': 19, 'name': 'Education'}, {'id': 16, 'name': 'Health'}]",403,False,NeurAlbertaTech,"Nov 16, 2023","Nov 19, 2023"
19229,Constellation: A Chainlink Hackathon,upcoming,https://constellation-hackathon.devpost.com/,70 days left,"[{'id': 1, 'name': 'Blockchain'}, {'id': 3, 'name': 'Fintech'}, {'id': 25, 'name': 'Web'}]",98,False,Chainlink,"Nov 08, 2023","Dec 10, 2023"
17170,EducateHacks,closed,https://educatehacks-2024.devpost.com/,0 days left,"[{'id': 19, 'name': 'Education'}, {'id': 22, 'name': 'Open Ended'}, {'id': 13, 'name': 'Social Good'}]",275,False,EducateHacks,"Apr 05, 2023","Apr 07, 2023"
15579,Hacknight 2023,upcoming,https://hacknight-23.devpost.com/,27 days left,"[{'id': 23, 'name': 'Beginner Friendly'}, {'id': 19, 'name': 'Education'}, {'id': 16, 'name': 'Health'}]",212,False,Sahyadri Open Source Community,"Oct 28, 2023","Oct 28, 2023"
18043,LaunchHacks III,closed,https://launchhacks-iii.devpost.com/,0 days left,"[{'id': 23, 'name': 'Beginner Friendly'}, {'id': 19, 'name': 'Education'}, {'id': 6, 'name': 'Machine Learning/AI'}]",198,False,LaunchHacks,"Apr 05, 2023","Apr 07, 2023"
18959,HackNC 2023,upcoming,https://hacknc-2023.devpost.com/,27 days left,"[{'id': 23, 'name': 'Beginner Friendly'}]",22,True,HackNC,"Oct 28, 2023","Oct 28, 2023"
18598,DeveloperWeek 2024 Hackathon,closed,https://developerweek-2024-hackathon.devpost.com/,0 days left,"[{'id': 2, 'name': 'DevOps'}, {'id': 21, 'name': 'Enterprise'}, {'id': 7, 'name': 'IoT'}]",96,False,DevNetwork,"Feb 05, 2023","Feb 23, 2023"
18898,The Brandeis Quant Club ML/AI Competition,upcoming,https://quants.devpost.com/,42 days left,"[{'id': 4, 'name': 'Gaming'}, {'id': 6, 'name': 'Machine Learning/AI'}, {'id': 27, 'name': 'Robotic Process Automation'}]",82,False,Brandeis University,"Nov 05, 2023","Nov 12, 2023"
18262,IATA ONE Record Hackathon – hosted by Qatar Airways Cargo,upcoming,https://onerecord-doh.devpost.com/,56 days left,"[{'id': 21, 'name': 'Enterprise'}, {'id': 7, 'name': 'IoT'}, {'id': 6, 'name': 'Machine Learning/AI'}]",76,False,Qatar Airways Cargo,"Nov 25, 2023","Nov 26, 2023"
18657, Fitch Code For a Cause 2023 with Amazon,upcoming,https://fitch-code4good-london.devpost.com/,33 days left,"[{'id': 13, 'name': 'Social Good'}]",72,False,Fitch,"Nov 02, 2023","Nov 03, 2023"
19387,Fintech Collab Hack: TIAA Challenge,upcoming,https://asu-tiaa.devpost.com/,35 days left,"[{'id': 3, 'name': 'Fintech'}, {'id': 4, 'name': 'Gaming'}, {'id': 6, 'name': 'Machine Learning/AI'}]",70,False,TIAA,"Nov 03, 2023","Nov 05, 2023"
